Ticker,MaxDrawdown,DebtToEquity,ReturnSD,PriceChange12M,RSI,EarningsGrowth,ROE,ROA,OperatingMargin,EBITDAMargin,LogMarketCap,RevenueGrowth,PE,Sector,MaxDrawdown_ZScore,DebtToEquity_ZScore,ReturnSD_ZScore,PriceChange12M_ZScore,RSI_ZScore,EarningsGrowth_ZScore,ROE_ZScore,ROA_ZScore,OperatingMargin_ZScore,EBITDAMargin_ZScore,LogMarketCap_ZScore,RevenueGrowth_ZScore,PE_ZScore,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score
PCAR,0.1529222485245572,76.163,0.016457494243553163,0.15141618,31.953924840606504,0.197,0.13108,0.041479997,0.103190005,0.11598,24.775909511868456,-0.089,23.265959,industrials,-0.9704379584725428,-0.10886642450880676,-0.6918868837062558,-0.13184582776658166,-1.729646630466181,-0.14494844799683337,-0.09712590168166206,-0.7066623179383763,-0.35013547021636215,-0.6902081868433735,0.955010437289973,-0.09707040293399699,-0.3925770873669713,-0.5903970888958684,-0.6688136354098654,-0.4610329691699435,0.955010437289973,-0.09707040293399699
WSO,0.3341812143349152,15.124,0.019679297293315256,-0.18460804,43.107950105690385,-0.031,0.18595,0.095,0.06846,0.10163,23.448074077116193,0.001,30.776869,industrials,0.5242709175826122,-0.17443509979034053,-0.27345848024347263,-0.7444558243337766,-0.5994941834739896,-0.24897490151167645,-0.08859925051041648,0.5791058910817429,-0.6906772208743297,-0.8260324429961091,-0.22737721618721313,-0.08778203333524662,-0.19436730838200098,0.02545911251626635,-0.5309749697731475,-0.2565507558247781,-0.22737721618721313,-0.08778203333524662
CNM,0.33875785763240696,118.467,0.02555947444859687,-0.13945019,41.980042362771115,0.091,0.24012,0.07549,0.074640006,0.11951999,22.942951375229377,-0.069,20.463203,industrials,0.5620111161361909,-0.06342306470425549,0.49022356399088907,-0.6621279780449528,-0.7137764865302636,-0.19331162375373412,-0.08018137746601381,0.11039631799030412,-0.6300797616365109,-0.6567018099417621,-0.6771700373235449,-0.09500632080094135,-0.4665406480152548,0.32960387180760814,-0.5230720294429835,-0.3141416577634957,-0.6771700373235449,-0.09500632080094135
SARO,0.2650965900498364,91.396,0.019944918857279493,-0.06764293,48.76132970902502,0.263,0.114829995,0.05352,0.08796,0.12100001,22.908226678477195,0.133,30.386364,industrials,-0.04541897696241116,-0.09250299079325433,-0.23896114902297783,-0.5312152560331297,-0.02668027632920131,-0.11483552724253668,-0.09965110897464541,-0.4174124631895479,-0.4994718312456681,-0.6426932653012624,-0.7080910774132602,-0.07415909125707941,-0.20467257229043898,-0.12562770559288108,-0.22424368653495588,-0.4148071671777809,-0.7080910774132602,-0.07415909125707941
AME,0.13567128138260331,22.489,0.013693349139388964,0.24174547,43.62968042638506,0.145,0.14626999,0.0801,0.26299,0.31856,24.66408349346483,0.113,33.91541,industrials,-1.1126939489132697,-0.16652354662845228,-1.0508774256514877,0.03283464091159021,-0.5466312228306357,-0.1686737795002186,-0.09476541788314359,0.2211472729852572,1.2167681352520057,1.2272327756250014,0.8554335619954613,-0.07622317339013505,-0.11154252177887733,-0.7766983070644032,-0.22749012047308806,0.6425956914947801,0.8554335619954613,-0.07622317339013505
GE,0.2085149392334953,116.527,0.019577046090948985,0.2525437,48.44358754828661,-0.018,0.45428002,0.048520003,0.20207001,0.22845,26.480324261820503,0.247,37.5732,industrials,-0.5120060796689495,-0.0655070311854589,-0.28673825144532433,0.052521030313020196,-0.05887467000654089,-0.24304356863583013,-0.04690148343709128,-0.5375327327604589,0.6194229852969201,0.37433216782548867,2.4727278471463388,-0.06239382309866227,-0.01501497085982305,-0.28808378743324425,-0.08313240277645027,0.10233023423121464,2.4727278471463388,-0.06239382309866227
PH,0.164740638244946,65.554,0.015375121520090256,0.2922151,33.96380638662782,-0.042,0.24841999,0.095410004,0.21528,0.26107,25.417470741666964,0.106,31.943996,industrials,-0.872980423410657,-0.12026271337431556,-0.8324589433992566,0.12484646036034187,-1.5260006377938344,-0.2539937216373926,-0.07889158123027795,0.5889558551927518,0.748952281960547,0.6830838915678051,1.5262966503325741,-0.07694560213670452,-0.16356731414463282,-0.6085673600614098,-0.5517159663569617,0.4855251118727065,1.5262966503325741,-0.07694560213670452
WCC,0.20542368419980678,127.711,0.024999827112075833,1.1520658,62.69982723992484,0.481,0.13395001,0.05135,0.051149998,0.06226,23.597261953144283,0.138,25.840086,industrials,-0.537497377803347,-0.05349307184227383,0.41753993376712717,1.6924511240220865,1.385601542795994,-0.015371637478344623,-0.09667990980763277,-0.4695446914626602,-0.8604087940478122,-1.1986736252074819,-0.09453100795433059,-0.0736430707238155,-0.3246469505727287,-0.05781683862616457,1.0208936764465786,-0.6563267551313967,-0.09453100795433059,-0.0736430707238155
CR,0.23388131531955256,57.874,0.019028418702309834,0.032274723,45.279125248048565,-0.378,0.16613,0.076680005,0.14302,0.19444999,23.063126219676445,0.249,32.921246,industrials,-0.30282830289154083,-0.12851264253701775,-0.35799067711460525,-0.34905412175140393,-0.3795055388663908,-0.40729586365926657,-0.09167922547331218,0.13898507942170724,0.040413745828901615,0.05251850458956033,-0.5701588455644814,-0.06218741488535671,-0.1377780946608337,-0.2631105408477213,-0.3786185080923538,0.03505952609171425,-0.5701588455644814,-0.06218741488535671
LHX,0.20554913017916848,34.574,0.015390497708044557,0.25849128,32.61470290318533,-0.061,,,0.097270004,0.16693,24.785780811492153,1.9,33.91087,industrials,-0.5364629174224269,-0.15354172450198664,-0.8304619765835672,0.06336413847761357,-1.6626950209266265,-0.2626625927636295,-1.725256871380338e-17,3.334009225450686e-16,-0.40818347523210924,-0.20796108921397427,0.963800459376566,0.10820256519838624,-0.11166233048336074,-0.5068222061693269,-0.6206644917375475,-0.1540361411115208,0.963800459376566,0.10820256519838624
SWK,0.26135769196828074,77.606,0.02352716052404954,0.13728988,54.48246576663406,-0.348,0.04165,0.03329,0.06437,0.10973,23.198638198176976,0.027,31.336065,industrials,-0.07625090918811875,-0.10731634016222091,0.22627885425876682,-0.15759966358980645,0.5529988763908718,-0.39360817240731355,-0.11102308437246748,-0.9034193654775954,-0.7307813256733668,-0.7493650928332409,-0.44949051115812605,-0.0850987265622743,-0.1796103594145284,0.014237201636142385,0.0005970134645839065,-0.6236472170891676,-0.44949051115812605,-0.0850987265622743
PSN,0.4541381881653558,61.213,0.027311903629703538,-0.20921671,46.13575375204851,-0.179,0.1103,0.04344,0.06003,0.082329996,22.47173778585296,-0.041,25.698565,industrials,1.5134675221614373,-0.12492585692838981,0.7178185265340532,-0.7893202012058461,-0.2927098954147516,-0.31650084502131137,-0.10035505807565666,-0.6595750719420698,-0.7733367816214894,-1.0087090065532396,-1.0967680655485528,-0.09211660581466347,-0.32838163067563664,0.7021200639223669,-0.46617698054730305,-0.6354939795481138,-1.0967680655485528,-0.09211660581466347
CXT,0.4460329483474556,120.992,0.022975219238627654,-0.23926723,44.83401950887048,-0.71,0.1101,0.06068,0.12045,0.23878,21.584283458091104,0.174,18.434978,industrials,1.4466295931011648,-0.060710685650111854,0.15459603960585663,-0.8441056834965049,-0.4246047141279949,-0.5587729801808801,-0.10038613754046892,-0.2454001339566057,-0.1808942359105288,0.4721067020455416,-1.8870128599769274,-0.06992772288431535,-0.5200646589515848,0.5135049823523031,-0.6091611259351266,-0.01364345134051545,-1.8870128599769274,-0.06992772288431535
LSTR,0.17396051133613605,15.551,0.021611358979314862,0.39766586,65.2155119597181,0.369,0.14412,0.07393,0.045050003,0.05046,22.607666968651394,0.016,53.446278,industrials,-0.7969509366269675,-0.17397641232257052,-0.02253392831466207,0.3170950718491449,1.6404967195924072,-0.06647235148563596,-0.09509952057590222,0.07291877139765178,-0.9202217130584731,-1.3103618637163517,-0.975728226362382,-0.0862339717354549,0.40386893031742355,-0.3311537590880667,0.6303731466519721,-0.5631910814882688,-0.975728226362382,-0.0862339717354549
TDY,0.18387182843282915,23.133,0.015106592856045459,0.25356102,44.80975580670869,0.216,0.09049,0.04893,0.19031,0.24709,24.08172664578573,0.076,31.447037,industrials,-0.7152196215905346,-0.16583175569345485,-0.8673338312942679,0.054375719244989934,-0.4270631703103638,-0.13627957687059644,-0.10343347906531176,-0.5276829368179283,0.5041113291898968,0.5507617242496694,0.3368666307385532,-0.08004172533628798,-0.17668185466696518,-0.5827950695260858,-0.16965567597865674,0.10593915938908152,0.3368666307385532,-0.08004172533628798
GNRC,0.3277298939414523,52.086,0.03291869066060364,1.1429479,67.95244659813217,0.699,0.07388,0.03788,0.11071999,0.121929996,23.489760186163085,0.124,84.68339,industrials,0.4710716410046279,-0.13473016727578344,1.4459943056427753,1.6758281654517193,1.9178094659194245,0.08409225228584744,-0.10601462861797056,-0.7931488918492149,-0.2763009206869787,-0.6338908502014395,-0.19025729954050488,-0.07508792821695444,1.228203274045249,0.5941119264572067,1.2259099612189972,-0.4523388228389009,-0.19025729954050488,-0.07508792821695444
AIT,0.12855730157998727,19.639,0.016692461355224984,0.33318865,58.722188003744364,0.031,0.21899,0.10786,0.110190004,0.12257,23.152507815998653,0.073,28.999056,industrials,-1.1713576884282155,-0.1695850437786738,-0.6613707683868041,0.19954585650757725,0.9825776470107165,-0.22068700625764015,-0.08346492292342987,0.8880554097878374,-0.2814976478473755,-0.6278331451676573,-0.4905678863435601,-0.08035133765624633,-0.24128305118901203,-0.6674378335312312,0.32047883242021785,-0.026185076537656338,-0.4905678863435601,-0.08035133765624633
PAYX,0.449507846252798,124.91,0.01630562453346277,-0.389822,66.46870386126851,0.091,,,0.44375,0.40523997,24.271566723497585,0.199,21.412802,industrials,1.475284510772575,-0.056501932725702066,-0.7116108082745719,-1.1185839848905974,1.767473112457637,-0.19331162375373412,-1.725256871380338e-17,3.334009225450686e-16,2.9891930700867166,2.047667789464126,0.5059120998885219,-0.0673476202179958,-0.4414811268767578,0.23572392325743363,0.15185916793776852,1.259215214887711,0.5059120998885219,-0.0673476202179958
WWD,0.15162959687890978,46.155,0.0220084606120381,0.6082758,40.57288819106997,0.23,0.21131,0.08006,0.15406999,0.18082,23.764689804699067,0.234,42.02871,industrials,-0.9810975022901878,-0.14110130397682336,0.029039243485867124,0.7010607116486128,-0.8563527038732104,-0.12989198761968504,-0.08465837437222094,0.2201863102521123,0.14876336856443037,-0.07649078134209278,0.05455721438515111,-0.06373547648514843,0.10256407779943716,-0.36438652092704804,-0.09506132661476085,0.051950130775557234,0.05455721438515111,-0.06373547648514843
CSX,0.1188915599184758,143.06,0.013912255531305654,0.44829786,61.1564665393716,0.265,0.23684,0.07084,0.36157,0.46816003,25.160993012613194,0.017,27.92638,industrials,-1.2510639241475174,-0.03700502982165976,-1.0224471800210906,0.409402910094228,1.2292245550387664,-0.11392301449240648,-0.08069108068893499,-0.0013155997377938353,2.1833849203593623,2.643212761351617,1.297912851942961,-0.0861307676288021,-0.2695905229710573,-0.7701720446634225,0.508234816880196,1.1861477503210627,1.297912851942961,-0.0861307676288021
LDOS,0.3804798691190606,137.125,0.018665235168405035,-0.17397577,29.99253420761083,-0.076,0.30579,0.09232,0.12227,0.13873,23.486449639249447,0.037,11.52882,industrials,0.9060617434647327,-0.043380463360805276,-0.4051587702315877,-0.7250719987029887,-1.9283794081591454,-0.269506438389606,-0.06997643519490578,0.5147213879610327,-0.16304839954518704,-0.4748770490402561,-0.19320521740328866,-0.08406668549574647,-0.7023152851493804,0.15250750329077992,-0.97431928175058,-0.04829512395482906,-0.19320521740328866,-0.08406668549574647
TTEK,0.3829587711916219,59.543,0.02188594099988444,-0.23618782,39.291392421166684,16.994,0.25645,0.088319995,0.12525,0.15002,22.69398819785097,-0.049,16.556887,industrials,0.9265034188001503,-0.12671978683746696,0.01312713311955468,-0.8384915722591394,-0.9861969121968187,7.518789883971673,-0.07764373916409217,0.41862499452619817,-0.13382829384808903,-0.36801601406015966,-0.8988624092834786,-0.09294223866788573,-0.5696266963110609,0.2709702550274127,1.8980337998385715,-0.04021576313653567,-0.8988624092834786,-0.09294223866788573
AWI,0.24535274727344647,63.904,0.01595819849661184,-0.0030398965,37.764482440368845,-0.019,0.3634,0.10366999,0.17126,0.26657,22.62813110950227,0.071,22.329077,industrials,-0.20823187238731178,-0.12203515909286486,-0.7567324124432914,-0.41343665028064747,-1.140907073786407,-0.24349982501089523,-0.06102399535573212,0.787394323250223,0.3173183716295888,0.7351419688388879,-0.957505676453094,-0.08055774586955189,-0.41730101218500215,-0.36233314797448934,-0.5992811830259833,0.44470766709074194,-0.957505676453094,-0.08055774586955189
GD,0.14534906719298318,37.701,0.013180528536303724,0.22798407,53.48963792521298,0.12,0.17974001,0.06005,0.10541,0.12056,25.25293419878642,0.103,21.59257,industrials,-1.0328883939898794,-0.15018267131295415,-1.1174794813630011,0.007746058883902498,0.45240319117789174,-0.18008018887684615,-0.08956426633886412,-0.2605352970036383,-0.3283675210395067,-0.6468580061339986,1.3797830299274434,-0.07725521445666286,-0.43673712441253304,-0.7668501822219449,0.09335635372831604,-0.3313312726290019,1.3797830299274434,-0.07725521445666286
PNR,0.3555884367407224,54.634,0.01722631743543687,-0.2497744,32.708168558662464,0.13,0.1761,0.08878,0.22687,0.26188,23.215754211352955,0.026,18.798994,industrials,0.7008004768162459,-0.13199308140253274,-0.5920367514181214,-0.8632614377383597,-1.6532248577580104,-0.17551762512619515,-0.09012991415242064,0.42967618607770647,0.8625969212321463,0.6907506265840917,-0.4342493433700362,-0.08520193066892708,-0.5104584286936011,-0.007743118668136077,-0.8973346402075216,0.473223454935381,-0.4342493433700362,-0.08520193066892708
XPO,0.15628912646353166,221.07,0.027352654847055617,0.707937,46.16166016410596,0.466,0.19937,0.059609998,0.087790005,0.15604,23.893994342496146,0.073,69.97241,industrials,-0.9426738017177004,0.04679405533229836,0.7231110495568539,0.882754303229251,-0.29008499594718734,-0.022215483104321122,-0.08651381842151333,-0.2711059351163692,-0.5011387010000231,-0.3110360822107191,0.16969805565842624,-0.08035133765624633,0.8399866538950518,-0.05758956560951604,0.1901512747259142,-0.29244863418715616,0.16969805565842624,-0.08035133765624633
CW,0.12967169191617822,43.634,0.020541186343089796,0.6374222,50.91214446923506,0.291,0.19691,0.08578,0.17557,0.22843,24.019578730668602,0.134,53.492317,industrials,-1.1621681340277041,-0.1438093861928614,-0.161521514051251,0.7541978813560407,0.19124540579090454,-0.10206034874071386,-0.08689609583870421,0.3576039810918368,0.3595796654398213,0.37414286572632116,0.281526243217152,-0.07405588715042663,0.40508388030546616,-0.4891663447572721,0.28112764613541047,0.25110760410481875,0.281526243217152,-0.07405588715042663
LII,0.33770085015842094,161.043,0.021837602468000206,-0.16328853,46.41258194271012,-0.077,0.76791,0.16740999,0.14316,0.21945,23.54853341164468,0.058,21.549133,industrials,0.5532947558372112,-0.01768751990852517,0.006849215317115442,-0.7055879565714043,-0.26466100278295895,-0.2699626947646711,0.0018357762003195284,2.3186884385166664,0.04178650247238946,0.28914622320007977,-0.1379219465700265,-0.08189939925603805,-0.43788340870694875,0.18081881708193384,-0.4134038847063448,0.6628642350973638,-0.1379219465700265,-0.08189939925603805
TXT,0.14688117344941656,52.674,0.015942429597158,0.22915268,50.52182429309602,0.106,0.12254,0.04557,0.08011,0.11088,23.49386666463243,0.118,17.52481,industrials,-1.0202542447751777,-0.13409853207426403,-0.7587803822666862,0.009876566524358836,0.1516972344634798,-0.18646777812775758,-0.09845299482914589,-0.6084038064021023,-0.5764442573269497,-0.7384802221311052,-0.18660063447919734,-0.07570715285687114,-0.5440836124631024,-0.6377110530387093,-0.008297992379972982,-0.5054453201723258,-0.18660063447919734,-0.07570715285687114
ATI,0.2531407156087977,96.904,0.026328587453395422,1.0421543,50.03920909232073,0.269,0.22674999,0.082959995,0.16143999,0.18483,23.821003315072456,0.006,53.561054,industrials,-0.14401024701698342,-0.08658624472187886,0.5901113354374045,1.4920700811386443,0.10279751107669449,-0.11209798899214607,-0.08225904124268714,0.2898559882847777,0.22102920043946825,-0.038535710458993976,0.1047022833046875,-0.0872660128019827,0.406897821036761,0.1198382812328474,0.49425653440773093,0.09752260925564121,0.1047022833046875,-0.0872660128019827
